zone_id,lat,lon,n_mineralized_obs,n_barren_obs,label_class,conflict,label,label_source
r00_c00,21.655,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c01,21.655,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c02,21.655,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c03,21.655,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c04,21.655,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c05,21.655,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c06,21.655,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c07,21.655,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c08,21.655,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c09,21.655,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c10,21.655,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c11,21.655,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c12,21.655,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c13,21.655,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c14,21.655,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c15,21.655,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c16,21.655,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c17,21.655,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c18,21.655,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c19,21.655,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c20,21.655,80.255,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c21,21.655,80.265,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c22,21.655,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c23,21.655,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c24,21.655,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c25,21.655,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c26,21.655,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c27,21.655,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c28,21.655,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL
r00_c29,21.655,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c00,21.665,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c01,21.665,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c02,21.665,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c03,21.665,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c04,21.665,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c05,21.665,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c06,21.665,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c07,21.665,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c08,21.665,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c09,21.665,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c10,21.665,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c11,21.665,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c12,21.665,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c13,21.665,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c14,21.665,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c15,21.665,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c16,21.665,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c17,21.665,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c18,21.665,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c19,21.665,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c20,21.665,80.255,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c21,21.665,80.265,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c22,21.665,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c23,21.665,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c24,21.665,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c25,21.665,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c26,21.665,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c27,21.665,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c28,21.665,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL
r01_c29,21.665,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c00,21.675,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c01,21.675,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c02,21.675,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c03,21.675,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c04,21.675,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c05,21.675,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c06,21.675,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c07,21.675,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c08,21.675,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c09,21.675,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c10,21.675,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c11,21.675,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c12,21.675,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c13,21.675,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c14,21.675,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c15,21.675,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c16,21.675,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c17,21.675,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c18,21.675,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c19,21.675,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c20,21.675,80.255,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c21,21.675,80.265,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c22,21.675,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c23,21.675,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c24,21.675,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c25,21.675,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c26,21.675,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c27,21.675,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c28,21.675,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL
r02_c29,21.675,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c00,21.685,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c01,21.685,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c02,21.685,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c03,21.685,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c04,21.685,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c05,21.685,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c06,21.685,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c07,21.685,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c08,21.685,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c09,21.685,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c10,21.685,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c11,21.685,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c12,21.685,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c13,21.685,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c14,21.685,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c15,21.685,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c16,21.685,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c17,21.685,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c18,21.685,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c19,21.685,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c20,21.685,80.255,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c21,21.685,80.265,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c22,21.685,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c23,21.685,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c24,21.685,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c25,21.685,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c26,21.685,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c27,21.685,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c28,21.685,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL
r03_c29,21.685,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c00,21.695,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c01,21.695,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c02,21.695,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c03,21.695,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c04,21.695,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c05,21.695,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c06,21.695,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c07,21.695,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c08,21.695,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL
r04_c09,21.695,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL
